City,Cu St ID,Order Date,Order ID,Ship Date,Ship Mode,State,Zip Code
Los Angeles,RB-19435,2017-11-25,US-2014-144078,2017-11-29,Standard Class,California,90004
San Francisco,AG-10300,2020-09-03,CA-2017-161823,2020-09-08,Standard Class,California,94122
Deltona,LW-16825,2017-07-01,CA-2014-160773,2017-07-05,Standard Class,Florida,32725
Albuquerque,FC-14335,2017-10-10,US-2014-134054,2017-10-10,Same Day,New Mexico,87105
Springfield,SW-20245,2017-07-20,CA-2014-142965,2017-07-20,Same Day,Ohio,45503
Houston,MC-17425,2019-07-16,CA-2016-130050,2019-07-18,Second Class,Texas,77036
San Francisco,SJ-20500,2017-10-09,CA-2014-138240,2017-10-14,Standard Class,California,94122
Huntsville,VS-21820,2017-01-07,CA-2014-105417,2017-01-12,Standard Class,Texas,77340
Plainfield,TW-21025,2020-07-21,US-2017-127719,2020-07-25,Standard Class,New Jersey,7060
Lubbock,TB-21595,2017-02-18,US-2014-165589,2017-02-18,Same Day,Texas,79424
Decatur,JS-16030,2020-02-16,CA-2017-163265,2020-02-21,Standard Class,Illinois,62521
New York City,GB-14575,2019-03-08,CA-2016-137337,2019-03-12,Standard Class,New York,10011
Spokane,DL-13495,2019-10-07,CA-2016-127649,2019-10-09,First Class,Washington,99207
New York City,DJ-13510,2020-02-11,US-2017-118535,2020-02-15,Standard Class,New York,10024
Tampa,LC-16960,2019-02-21,US-2016-139262,2019-02-25,Standard Class,Florida,33614
Houston,DH-13075,2019-06-24,CA-2016-166240,2019-06-28,Standard Class,Texas,77095
Los Angeles,VS-21820,2020-05-23,CA-2017-167003,2020-05-29,Standard Class,California,90036
Lancaster,LT-17110,2018-12-12,CA-2015-154620,2018-12-16,Standard Class,California,93534
Cedar Rapids,TR-21325,2019-09-05,CA-2016-160815,2019-09-06,First Class,Iowa,52402
Los Angeles,KD-16615,2020-03-02,CA-2017-155712,2020-03-08,Standard Class,California,90008
Jackson,BB-11545,2019-11-25,CA-2016-169838,2019-11-29,Standard Class,Michigan,49201
Huntsville,KC-16255,2019-11-18,US-2016-138408,2019-11-21,Second Class,Alabama,35810
Norwich,LW-17125,2020-06-08,CA-2017-117436,2020-06-14,Standard Class,Connecticut,6360
New York City,JL-15835,2019-04-30,CA-2016-154788,2019-05-04,Standard Class,New York,10011
Yonkers,NC-18415,2017-05-03,CA-2014-135755,2017-05-10,Standard Class,New York,10701
Louisville,TZ-21580,2017-11-11,CA-2014-163419,2017-11-14,Second Class,Colorado,80027
Columbia,DN-13690,2017-09-20,CA-2014-166744,2017-09-24,Standard Class,Maryland,21044
Houston,CA-12055,2018-09-05,CA-2015-162621,2018-09-11,Standard Class,Texas,77036
Saint Paul,QJ-19255,2019-12-08,CA-2016-134425,2019-12-12,Second Class,Minnesota,55106
Seattle,EH-13765,2019-12-23,CA-2016-135776,2019-12-30,Standard Class,Washington,98103
Columbus,SZ-20035,2018-06-12,CA-2015-136105,2018-06-16,Standard Class,Indiana,47201
Yuma,NZ-18565,2019-07-10,CA-2016-134222,2019-07-11,Same Day,Arizona,85364
San Francisco,AJ-10795,2017-12-29,CA-2014-110786,2018-01-02,Standard Class,California,94110
Columbus,EC-14050,2017-12-17,CA-2014-139633,2017-12-24,Standard Class,Ohio,43229
Fairfield,LT-16765,2020-12-04,CA-2017-160031,2020-12-07,Second Class,Ohio,45014
Warwick,CA-11965,2019-12-23,CA-2016-157791,2019-12-28,Second Class,Rhode Island,2886
Houston,VD-21670,2018-06-26,CA-2015-166583,2018-06-30,Standard Class,Texas,77070
Los Angeles,TS-21370,2017-10-28,CA-2014-101931,2017-10-31,First Class,California,90049
Bellevue,CR-12580,2019-11-24,CA-2016-165561,2019-11-28,Standard Class,Washington,98006
Knoxville,DW-13195,2017-07-05,CA-2014-152849,2017-07-12,Standard Class,Tennessee,37918
Fremont,DK-13090,2020-10-01,CA-2017-117807,2020-10-07,Standard Class,Nebraska,68025
San Francisco,NK-18490,2020-09-24,CA-2017-130148,2020-09-28,Second Class,California,94110
San Diego,SW-20455,2020-07-21,CA-2017-145429,2020-07-25,Standard Class,California,92024
Grand Prairie,TB-21625,2018-12-31,CA-2015-156377,2019-01-05,Standard Class,Texas,75051
Lakewood,ES-14080,2019-04-07,CA-2016-154998,2019-04-09,First Class,New Jersey,8701
Des Moines,LC-16870,2019-08-12,CA-2016-167584,2019-08-12,Same Day,Iowa,50315
Seattle,BM-11785,2019-04-16,CA-2016-105473,2019-04-18,Second Class,Washington,98115
Fairfield,ML-17410,2017-11-14,CA-2014-125556,2017-11-16,Second Class,Connecticut,6824
Chicago,TS-21205,2017-12-09,CA-2014-169649,2017-12-15,Standard Class,Illinois,60653
Roseville,RB-19435,2017-03-11,US-2014-103338,2017-03-15,Standard Class,California,95661
Frisco,EM-14065,2020-06-04,CA-2017-149720,2020-06-07,Second Class,Texas,75034
Los Angeles,JD-15790,2018-04-02,US-2015-159513,2018-04-09,Standard Class,California,90049
