Category,Price,Product ID,Product Nm,Subcategory
Furniture,91.69,FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Bookcases
Furniture,102.83,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Bookcases
Furniture,119.69,FUR-BO-10000362,Sauder Inglewood Library Bookcases,Bookcases
Furniture,14.57,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases
Furniture,70.98,FUR-BO-10000711,"Hon Metal Bookcases, Gray",Bookcases
Furniture,100.49,FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Bookcases
Furniture,96.78,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Bookcases
Furniture,29.07,FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases
Furniture,30.29,FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Bookcases
Furniture,89.07,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Bookcases
Furniture,21.29,FUR-BO-10001608,"Hon Metal Bookcases, Black",Bookcases
Furniture,67.98,FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Bookcases
Furniture,65.49,FUR-BO-10001798,Bush Somerset Collection Bookcase,Bookcases
Furniture,90.29,FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Bookcases
Furniture,80.49,FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Bookcases
Furniture,36.29,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Bookcases
Furniture,72.29,FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Bookcases
Furniture,119.83,FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Bookcases
Furniture,112.78,FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases
Furniture,24.29,FUR-BO-10002268,Sauder Barrister Bookcases,Bookcases
Furniture,130.49,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases
Furniture,56.78,FUR-BO-10002598,"Hon Metal Bookcases, Putty",Bookcases
Furniture,84.29,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Bookcases
Furniture,102.67,FUR-BO-10002824,Bush Mission Pointe Library,Bookcases
Furniture,40.97,FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Bookcases
Furniture,145.33,FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Bookcases
Furniture,91.69,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases
